esz,,,0_Mhadei_WLS,0_Mhadei_WLS,1_Bhagwan_Mahavir_WLS,1_Bhagwan_Mahavir_WLS,2_Mollem_NP,2_Mollem_NP,3_Bhagwan_Mahavir_WLS,3_Bhagwan_Mahavir_WLS,4_Bondla_WLS,4_Bondla_WLS,5_Netravali_WLS,5_Netravali_WLS,6_Cotigaon_WLS,6_Cotigaon_WLS,7_Dr_Salim_Ali_WLS,7_Dr_Salim_Ali_WLS
part,,,buffer,pa,buffer,pa,buffer,pa,buffer,pa,buffer,pa,buffer,pa,buffer,pa,buffer,pa
basic_id,level_1_id,level_1_validation_system,,,,,,,,,,,,,,,,
BAL,BAL,Bare areas,9102.217194570136,1903.5746606334842,0.0,0.0,11.266968325791854,0.0,3368.5520361990953,0.0,0.0,34.61538461538461,22729.004524886877,250.99547511312218,0.0,0.0,6337.7375565610855,0.0
BAL,SVG,Sparse vegetation,98835.88235294119,43419.09502262443,16249.140271493214,34.61538461538461,102161.53846153847,519.2307692307693,55597.19457013575,10277.9185520362,30121.900452488688,0.0,20159.592760180996,3583.3031674208146,13234.75113122172,2650.588235294118,106011.99095022625,0.0
CRP,ICP,Irrigated cropland,267776.4705882353,214627.33031674207,82469.04977375566,38047.466063348416,66227.78280542986,101619.09502262443,238437.6923076923,39998.280542986424,4009.2760180995474,69.23076923076923,461181.58371040726,105159.09502262443,108854.93212669683,17993.89140271493,294598.0995475113,1645.5203619909503
CRP,RCP,Rainfed cropland,141397.78280542986,107593.9819004525,35736.65158371041,10950.22624434389,18884.570135746606,7511.493212669684,99192.17194570135,26097.556561085974,5589.321266968326,138.46153846153845,221870.99547511313,80221.62895927601,420641.5837104072,151175.52036199093,139744.9773755656,13.665158371040725
FST,BDF,Deciduous broadleaved forest,15099450.610859726,12610379.932126695,4146993.8009049767,2031142.4660633474,2551933.0316742086,2559871.153846154,9647957.1719457,9207468.868778283,1468318.5067873301,307397.57918552036,13250351.40271493,7969801.018099546,3617121.1085972856,3712282.8733031675,1239473.4162895929,154.9547511312217
FST,DNF,Deciduous needleleaved forest,8364.50226244344,97148.48416289593,229.34389140271492,2988.4615384615386,338.0769230769231,3064.072398190045,818.3484162895928,1362.0814479638009,299.9321266968326,0.0,10813.846153846156,32460.47511312217,13519.954751131223,22611.176470588234,363.46153846153845,0.0
FST,EBF,Evergreen broadleaved forest,14086791.244343892,83450033.14479637,1400340.4751131202,24512732.036199108,1381654.2081447965,43909228.50678733,743174.9321266969,10221964.208144797,2724146.1312217196,1428425.022624435,8558235.135746606,79283909.93212672,3211272.556561084,30383931.719457056,53440.656108597286,24679.615384615383
FST,ENF,Evergreen needleleaved forest,9972791.60633484,11421382.126696832,3615631.968325792,4708299.977375566,1696272.5565610856,6428118.665158371,3472499.932126697,10274557.533936655,3304417.0588235296,1794630.135746606,10403170.520361992,17281577.782805428,4708113.936651576,8297833.91402715,49478.00904977376,51.92307692307692
FST,MFT,Mixed-leaf forest,494437.0588235294,2702107.466063348,8520.81447963801,628682.5791855204,6262.669683257918,420720.13574660633,11240.633484162896,123099.50226244345,74213.34841628959,11733.393665158372,550454.7963800906,1047019.0045248868,445558.91402714927,850575.6108597285,5538.461538461538,0.0
GRS,GRS,Grassland,68291.2669683258,50335.656108597286,126182.30769230769,10050.407239819006,47357.37556561086,76550.49773755656,277996.42533936654,79442.17194570137,888.7330316742082,276.9230769230769,491550.9502262444,229994.66063348416,40960.31674208144,342.76018099547514,20916.244343891405,0.0
IMP,IMP,Impervious surface,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,276.9230769230769,0.0
SHR,SHR,Shrubland,18325.58823529412,84158.00904977375,9088.778280542987,10523.009049773755,2683.167420814479,10250.565610859729,28053.800904977375,4868.619909502262,519.027149321267,86.53846153846153,456137.6470588236,1611916.9683257919,215392.7375565611,725105.0904977376,7712.443438914027,0.0
WET,CWL,Coastal wetland,157438.16742081448,4784.185520361992,951.9230769230769,0.0,1300.656108597285,0.0,15739.140271493212,0.0,0.0,0.0,1310316.7194570138,87589.95475113121,0.0,0.0,189261.04072398192,8232.89592760181
WET,IWL,Inland wetland,122572.30769230769,60045.067873303175,3611.5384615384623,0.0,5225.0226244343885,566.7420814479638,27926.923076923078,1565.0226244343892,23.076923076923077,265.3846153846154,336144.88687782804,31765.02262443439,0.0,0.0,407954.4343891403,38293.61990950227
WTR,WTR,Water body,1088999.8642533936,50705.022624434394,1661.5384615384614,0.0,5629.5475113122175,69.23076923076923,115433.21266968326,0.0,0.0,276.9230769230769,8745112.94117647,115024.47963800904,0.0,0.0,2999934.841628957,217693.84615384616
