fine_id,color
10,255255100
11,255255100
12,"255,255,0"
20,170240240
51,"76,115,0"
52,"0,100,0"
61,"170,200,0"
62,"0,160,0"
71,"0,80,0"
72,"0,60,0"
81,"40,100,0"
82,"40,80,0"
91,"160,180,50"
92,"120,130,0"
120,"150,100,0"
121,"150,75,0"
122,"150,100,0"
130,"255,180,50"
140,255220210
150,255235175
152,255210120
153,255235175
181,168132
182,115255223
183,158187215
184,130130130
185,245122182
186,102205171
187,"68,79,137"
190,"195,20,0"
200,255245215
201,220220220
202,255245215
210,"0,70,200"
220,255255255
