fid,pc11_state,pc11_distr,pc11_subdi,town_villa,year,Rainfed_cropland,Herbaceous_cover_cropland,Tree_or_shrub_cover_cropland,Irrigated_cropland,Open_evergreen_broadleaved_forest,Closed_evergreen_broadleaved_forest,Open_deciduous_broadleaved_forest,Closed_deciduous_broadleaved_forest,Open_evergreen_needle_leaved_forest,Closed_evergreen_needle_leaved_forest,Open_deciduous_needle_leaved_forest,Closed_deciduous_needle_leaved_forest,Open_mixed_leaf_forest,Closed_mixed_leaf_forest,Shrubland,Evergreen_shrubland,Deciduous_shrubland,Grassland,Lichens_and_mosses,Sparse_vegetation,Sparse_shrubland,Sparse_herbaceous,Swamp,Marsh,Flooded_flat,Saline,Mangrove,Salt_marsh,Tidal_flat,Impervious_surfaces,Bare_areas,Consolidated_bare_areas,Unconsolidated_bare_areas,Water_body,Permanent_ice_and_snow,Filled_value
629225,30,585,05610,Penha-de-Franca,1985,20.28,2.32,,10.91,,7.93,5.60,327.56,,25.18,,,,,26.50,,,19.06,,,,,,1.46,5.07,,,,,11.65,,,,23.58,,
629226,30,585,05610,Salvador do Mundo,1985,52.18,1.12,,24.00,,94.06,5.97,542.39,0.09,247.04,,,,,5.16,,,5.96,,,,,3.92,18.52,99.29,,0.09,,,2.56,,,,102.30,,
629231,30,585,05611,Chorao,1985,141.43,40.74,0.43,39.76,,27.10,2.24,790.97,,49.68,,,,,30.20,,,4.09,,,,,33.05,48.97,121.84,,0.09,,,0.95,,,,430.58,,
629234,30,585,05611,Navelim,1985,42.32,18.06,,10.96,,1.81,3.09,163.21,,2.96,,,,,12.45,,,,,,,,2.41,25.01,151.87,,,,,0.17,,,,219.65,,
629255,30,585,05611,Chimbel,1985,3.49,0.17,,2.08,,5.27,12.91,260.42,,107.87,,,,,0.17,,,5.07,,,,,,5.09,4.95,,,,,4.45,,,,86.98,,
629261,30,585,05611,Panaji,1985,219.14,20.68,,153.53,,32.49,26.05,1411.02,0.17,180.77,,,,,81.24,,,84.51,,,,,3.38,30.95,127.15,,0.09,,,83.43,,,,275.00,,
629292,30,585,05613,Siroli,1985,0.43,0.17,,3.62,,145.48,0.17,115.13,,67.93,,,,,,0.09,,,,,,,,0.09,,,,,,,,,,,,
629293,30,585,05613,Anjunem,1985,0.17,,,0.78,,127.67,0.43,13.50,,19.23,,,,,0.09,1.28,,,,,,,0.17,3.48,19.58,,,,,,,,,12.56,,
629294,30,585,05613,Quelaudem,1985,,,,0.52,,235.84,0.09,12.76,,31.58,,,,,,3.19,,,,,,,0.17,1.57,10.26,,,,,,,,,5.56,,
629295,30,585,05613,Ponsuli,1985,0.34,0.26,,1.35,,242.56,0.09,28.82,,57.62,,,,,0.09,0.69,,,,,,,,0.50,2.08,,,,,,,,,,,
629296,30,585,05613,Choraundem,1985,5.07,1.72,,0.09,,371.55,0.78,136.66,,99.23,,,,,0.34,9.97,,,,,,,,,,,,,,0.43,,,,,,
629297,30,585,05613,Ivrem-Buzruco,1985,12.66,1.29,,0.43,,180.97,0.26,191.03,,85.96,,,,,0.17,11.38,,,,,,,,,,,,,,1.12,,,,,,
629298,30,585,05613,Ivrem-Curdo,1985,6.73,0.09,,0.17,,176.17,,81.81,,99.26,,,,,0.34,1.09,,,,,,,,,,,,,,0.26,,,,,,
629299,30,585,05613,Golauli,1985,0.59,,,0.99,,423.56,0.83,110.94,,93.31,,,,,0.09,8.79,,,,,,,,,,,,,,,,,,,,
629300,30,585,05613,Surla,1985,0.09,,,0.38,,1091.07,1.37,217.93,0.09,135.99,,,,,,24.20,,4.71,,,,,,,,,,,,,,,,,,
629301,30,585,05613,Satrem,1985,0.26,,,1.53,,1900.57,0.60,135.81,,77.65,,,,,,29.88,,,,,,,,,,,,,,,,,,0.13,,
629302,30,585,05613,Derodem,1985,,,,1.36,,1210.97,0.95,61.18,,59.08,,,,,,1.72,,3.56,,,,,,,,,,,,,,,,,,
629303,30,585,05613,Codal,1985,,,,0.89,,1047.68,,84.84,,166.08,,,,,,9.14,,,,,,,,,,,,,,,,,,,,
629304,30,585,05613,Rivem,1985,0.79,,,2.43,,304.39,0.26,54.75,,148.05,,,,,,1.44,,,,,,,,,,,,,,,,,,,,
629305,30,585,05613,Dongurli,1985,31.45,0.43,,20.39,,161.81,1.12,355.77,,254.47,,,,,1.38,0.34,,,,,,,,,,,,,,3.37,,,,,,
629306,30,585,05613,Pale,1985,2.17,0.09,,0.59,,361.00,0.34,234.56,,173.06,,,,,0.26,4.71,,,,,,,,,,,,,,0.63,,,,,,
629307,30,585,05613,Gululem,1985,,,,0.90,,596.97,0.60,21.23,,45.04,,,,,,0.69,,,,,,,0.43,7.45,28.48,,,,,,,,,76.84,,
629308,30,585,05613,Querim,1985,0.34,0.09,,3.61,,716.94,1.03,221.09,,282.04,,,,,0.26,0.96,,,,,,,0.52,1.21,0.17,,,,,2.67,,,,0.69,,
629310,30,585,05613,Saleli,1985,11.12,3.79,,3.47,,171.49,0.26,495.50,,177.93,,,,,5.09,1.47,,,,,,,,,,,,,,0.60,,,,,,
629311,30,585,05613,Zormen,1985,0.60,0.17,,0.09,,346.66,1.38,180.13,,213.85,,,,,,9.99,,,,,,,,,,,,,,,,,,,,
629312,30,585,05613,Dabem,1985,0.60,0.09,,,,142.86,0.34,106.25,,136.71,,,,,,0.37,,,,,,,,,,,,,,,,,,,,
629313,30,585,05613,Compordem,1985,6.30,1.55,,1.34,,222.83,1.03,326.52,,161.46,,,,,1.03,1.33,,,,,,,,,,,,,,1.12,,,,,,
629314,30,585,05613,Edorem,1985,1.38,0.43,,1.20,,31.09,,36.45,,73.97,,,,,0.09,,,,,,,,,,,,,,,,,,,,,
